#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Nfatc3_glue	Nfatc3	0.0	1.0	placeholder
Bsx_glue	Bsx	0.0	1.0	placeholder
Prdm4_glue	Prdm4	0.0	1.0	placeholder
Alx1_glue	Alx1	0.0	1.0	placeholder
Mgp_glue	Mgp	0.0	1.0	placeholder
Bach2_glue	Bach2	0.0	1.0	placeholder
Fosl1_glue	Fosl1	0.0	1.0	placeholder
Junb_glue	Junb	0.0	1.0	placeholder
Jund_glue	Jund	0.0	1.0	placeholder
Fos_glue	Fos	0.0	1.0	placeholder
Jun_glue	Jun	0.0	1.0	placeholder
Klf13_glue	Klf13	0.0	1.0	placeholder
Pparg_glue	Pparg	0.0	1.0	placeholder
Zfp382_glue	Zfp382	0.0	1.0	placeholder
Pitx3_glue	Pitx3	0.0	1.0	placeholder
Six1_glue	Six1	0.0	1.0	placeholder
Six4_glue	Six4	0.0	1.0	placeholder
Srf_glue	Srf	0.0	1.0	placeholder
Lef1_glue	Lef1	0.0	1.0	placeholder
Noto_glue	Noto	0.0	1.0	placeholder
Vsx2_glue	Vsx2	0.0	1.0	placeholder
Stat6_glue	Stat6	0.0	1.0	placeholder
Zfp410_glue	Zfp410	0.0	1.0	placeholder
Isl1_glue	Isl1	0.0	1.0	placeholder
Zfp354a_glue	Zfp354a	0.0	1.0	placeholder
Smad2_glue	Smad2	0.0	1.0	placeholder
Hic2_glue	Hic2	0.0	1.0	placeholder
Mef2d_glue	Mef2d	0.0	1.0	placeholder
Vezf1_glue	Vezf1	0.0	1.0	placeholder
Snai2_glue	Snai2	0.0	1.0	placeholder
Snai3_glue	Snai3	0.0	1.0	placeholder
Nr4a2_glue	Nr4a2	0.0	1.0	placeholder
Grhl2_glue	Grhl2	0.0	1.0	placeholder
Zfp449_glue	Zfp449	0.0	1.0	placeholder
Sp2_glue	Sp2	0.0	1.0	placeholder
Sox5_glue	Sox5	0.0	1.0	placeholder
Sox6_glue	Sox6	0.0	1.0	placeholder
Sox13_glue	Sox13	0.0	1.0	placeholder
Sox9_glue	Sox9	0.0	1.0	placeholder
Zfp341_glue	Zfp341	0.0	1.0	placeholder
Rfx7_glue	Rfx7	0.0	1.0	placeholder
Batf_glue	Batf	0.0	1.0	placeholder
Bach1_glue	Bach1	0.0	1.0	placeholder
Nhlh2_glue	Nhlh2	0.0	1.0	placeholder
